request_id,segment_id,system_type,district,request_type,submitted_date,resolved_date,resolution_status,severity,channel,lat,lon
SR-00196,PIPE-0338,Water,Southeast,Low Pressure,2025-04-19,,In Review,Low,Phone,43.53989371924085,-116.16944165973055
SR-00197,PIPE-0444,Sewer,Downtown,Sewer Backup,2024-12-14,,In Review,High,Phone,43.625248232708486,-116.19925034169621
SR-00198,PIPE-0024,Water,West Boise,Water Main Break,2024-04-19,,In Review,Medium,Web Form,43.6449497734059,-116.31566787702224
SR-00199,PIPE-0460,Stormwater,East Bench,Erosion Report,2025-02-25,2025-03-31,Resolved,Critical,Web Form,43.58095451358854,-116.17537251648238
SR-00200,PIPE-0499,Water,North End,No Water,2024-10-18,,Resolved,Medium,311 App,43.64019412864808,-116.2048793709381
SR-00201,PIPE-0406,Sewer,Downtown,Sewer Backup,2024-12-07,,Resolved,Medium,311 App,43.61425407751635,-116.22089394040968
SR-00202,PIPE-0285,Sewer,Downtown,Root Intrusion Report,2025-07-17,2025-07-23,In Review,High,Web Form,43.61408174287246,-116.18544040086888
SR-00203,PIPE-0033,Sewer,East Bench,Sewer Backup,2024-11-15,2024-12-12,In Review,High,Web Form,43.5914993772856,-116.16720243346487
SR-00204,PIPE-0129,Water,Downtown,Leak Report,2025-08-25,,Resolved,Critical,Web Form,43.6082439547593,-116.17657243626522
SR-00205,PIPE-0392,Water,West Boise,Low Pressure,2025-07-28,2025-08-13,Pending,Medium,Phone,43.6331509430272,-116.27480193909987
SR-00206,PIPE-0168,Sewer,Downtown,Manhole Overflow,2025-10-07,2025-11-07,In Review,Medium,Phone,43.61462144668094,-116.18241029745651
SR-00207,PIPE-0125,Sewer,North End,Root Intrusion Report,2024-09-01,2024-09-02,Pending,Medium,SCADA,43.65418525508279,-116.17784651335651
SR-00208,PIPE-0384,Water,Downtown,Water Main Break,2025-11-13,2025-12-17,Pending,Medium,SCADA,43.61522688597485,-116.17535382792619
SR-00209,PIPE-0308,Sewer,Downtown,Sewer Backup,2024-10-02,,In Review,Critical,Web Form,43.607693350458305,-116.17601229105277
SR-00210,PIPE-0414,Sewer,East Bench,Manhole Overflow,2025-02-19,2025-03-08,In Review,Medium,311 App,43.60472269745466,-116.1760048794707
SR-00211,PIPE-0464,Stormwater,North End,Street Flooding,2024-08-24,2024-08-27,In Review,Critical,Phone,43.65955687957675,-116.18427980371692
SR-00212,PIPE-0416,Stormwater,Southeast,Street Flooding,2024-01-03,2024-01-11,Pending,Low,Web Form,43.58705533378742,-116.20078546520082
SR-00213,PIPE-0437,Water,West Boise,Leak Report,2024-05-06,2024-05-27,Pending,High,SCADA,43.600652478939345,-116.25327497507206
SR-00214,PIPE-0060,Sewer,West Boise,Manhole Overflow,2025-02-02,2025-03-17,Pending,Critical,Web Form,43.63602980327633,-116.29565855494562
SR-00215,PIPE-0052,Water,North End,Low Pressure,2024-06-11,,In Review,Critical,Web Form,43.675101359515345,-116.2034693340561
SR-00216,PIPE-0492,Stormwater,Southeast,Standing Water,2024-10-17,,Resolved,Critical,311 App,43.58434693780203,-116.20060862808516
SR-00217,PIPE-0296,Sewer,West Boise,Odor Complaint,2025-04-05,,Pending,Critical,Web Form,43.61531883317067,-116.3153417373696
SR-00218,PIPE-0393,Stormwater,Southeast,Standing Water,2024-01-18,2024-02-29,Pending,Medium,Phone,43.56628629759466,-116.19911502932398
SR-00219,PIPE-0346,Sewer,Downtown,Root Intrusion Report,2025-12-07,,Pending,Critical,311 App,43.60222487109611,-116.21817138347373
SR-00220,PIPE-0447,Sewer,East Bench,Manhole Overflow,2024-10-16,,In Review,Medium,SCADA,43.611647806982525,-116.17698651665005
SR-00221,PIPE-0202,Sewer,North End,Slow Drain,2024-12-01,2025-01-06,In Review,High,311 App,43.673598077009956,-116.20404251253711
SR-00222,PIPE-0008,Water,Southwest,Water Main Break,2025-03-11,,In Review,Medium,SCADA,43.57218434512621,-116.25666938404984
SR-00223,PIPE-0267,Stormwater,Downtown,Standing Water,2024-12-31,,In Review,Medium,Phone,43.61203786022347,-116.21856881423783
SR-00224,PIPE-0012,Sewer,Downtown,Manhole Overflow,2024-09-03,2024-10-05,Pending,Low,311 App,43.60284076966229,-116.18989829877277
SR-00225,PIPE-0433,Stormwater,Southwest,Standing Water,2024-02-14,,In Review,Low,311 App,43.583320843007975,-116.27115229092965
SR-00226,PIPE-0479,Sewer,Downtown,Manhole Overflow,2024-05-18,,Resolved,High,311 App,43.60668546346141,-116.20332420868735
SR-00227,PIPE-0001,Water,West Boise,Hydrant Issue,2024-05-03,2024-06-14,Pending,Medium,311 App,43.650832257137644,-116.33989016196048
SR-00228,PIPE-0031,Stormwater,East Bench,Clogged Drain,2024-09-13,2024-10-18,Resolved,Critical,Web Form,43.605465300565925,-116.17437081191666
SR-00229,PIPE-0490,Water,Southwest,Discolored Water,2024-01-07,2024-02-08,Pending,High,311 App,43.59647584074067,-116.21874648316104
SR-00230,PIPE-0485,Sewer,Southwest,Odor Complaint,2024-10-11,,Pending,Critical,Phone,43.54680859749231,-116.2790139552816
SR-00231,PIPE-0056,Sewer,Southeast,Manhole Overflow,2024-01-22,2024-02-04,Resolved,Medium,311 App,43.54239176090847,-116.15511557577672
SR-00232,PIPE-0494,Stormwater,Southwest,Street Flooding,2024-05-15,,In Review,Critical,Phone,43.55564458485169,-116.232607036398
SR-00233,PIPE-0338,Water,Southeast,No Water,2024-07-28,2024-08-17,Pending,Medium,311 App,43.54133447867337,-116.17101972451563
SR-00234,PIPE-0024,Water,West Boise,Discolored Water,2024-06-24,2024-07-29,In Review,Critical,311 App,43.642026309238325,-116.31903486269917
SR-00235,PIPE-0060,Sewer,West Boise,Manhole Overflow,2025-03-01,,In Review,Medium,Web Form,43.63713478805066,-116.29381211076942
SR-00236,PIPE-0166,Sewer,Southeast,Root Intrusion Report,2025-06-27,2025-08-04,Pending,Critical,Phone,43.57011710215989,-116.16980792162977
SR-00237,PIPE-0224,Water,West Boise,Discolored Water,2024-08-08,2024-09-05,In Review,Critical,Web Form,43.650143920804624,-116.25554387475233
SR-00238,PIPE-0494,Stormwater,Southwest,Erosion Report,2024-01-21,,Pending,Critical,311 App,43.55666889897052,-116.23227160992799
SR-00239,PIPE-0122,Stormwater,West Boise,Culvert Blockage,2024-02-25,,Resolved,Critical,SCADA,43.60996533192234,-116.28299535064886
SR-00240,PIPE-0131,Stormwater,West Boise,Clogged Drain,2024-05-18,,In Review,Medium,Phone,43.65297793164313,-116.33701496731244
SR-00241,PIPE-0116,Water,Southeast,Hydrant Issue,2025-07-10,2025-07-26,In Review,Low,Web Form,43.55362930348711,-116.1898268538884
SR-00242,PIPE-0164,Sewer,Downtown,Manhole Overflow,2025-07-16,,Resolved,Critical,SCADA,43.616464980050495,-116.19967479852237
SR-00243,PIPE-0374,Water,Southwest,Hydrant Issue,2024-08-13,2024-08-19,Resolved,Critical,311 App,43.5951414896374,-116.23048258209913
SR-00244,PIPE-0199,Water,Southwest,Water Main Break,2024-11-25,2025-01-08,Pending,Low,311 App,43.59098291778217,-116.2949708097662
SR-00245,PIPE-0452,Sewer,Southeast,Sewer Backup,2025-12-08,,Resolved,High,Phone,43.573595234090746,-116.16033411144836
SR-00246,PIPE-0278,Sewer,North End,Sewer Backup,2024-03-25,2024-04-25,Pending,High,311 App,43.65828486314269,-116.2290061130235
SR-00247,PIPE-0069,Water,West Boise,Leak Report,2024-06-02,2024-06-23,In Review,Low,Web Form,43.651710117330914,-116.34732878373697
SR-00248,PIPE-0111,Water,East Bench,Hydrant Issue,2024-05-31,2024-07-07,Pending,High,SCADA,43.58995288864249,-116.17392805158863
SR-00249,PIPE-0336,Stormwater,Downtown,Erosion Report,2024-10-22,2024-10-25,Pending,Critical,311 App,43.60002857474788,-116.198747748897
SR-00250,PIPE-0469,Stormwater,Southeast,Erosion Report,2024-02-20,,Resolved,Critical,Web Form,43.56481467166893,-116.20164524577972
SR-00251,PIPE-0117,Water,North End,Leak Report,2024-10-08,2024-11-03,In Review,Low,Phone,43.63745288959686,-116.17348319947416
SR-00252,PIPE-0346,Sewer,Downtown,Odor Complaint,2024-11-25,2024-11-29,Pending,Medium,SCADA,43.604891398739156,-116.21978982669967
SR-00253,PIPE-0035,Stormwater,Southwest,Clogged Drain,2025-04-26,,Resolved,Critical,SCADA,43.569489364406444,-116.26452290710834
SR-00254,PIPE-0045,Water,East Bench,Discolored Water,2025-10-01,2025-11-04,Resolved,Low,311 App,43.60995424274379,-116.14020205359316
SR-00255,PIPE-0132,Water,North End,Hydrant Issue,2025-02-05,,Resolved,Low,Web Form,43.638875313635744,-116.23096535349005
SR-00256,PIPE-0426,Water,Downtown,Leak Report,2024-06-30,2024-07-31,Resolved,Medium,SCADA,43.62687272559892,-116.2043952639861
SR-00257,PIPE-0203,Water,Southeast,Discolored Water,2025-02-13,,In Review,Low,Phone,43.54457157816053,-116.13335070126016
SR-00258,PIPE-0447,Sewer,East Bench,Odor Complaint,2024-06-23,2024-08-04,Pending,High,Phone,43.60782083749946,-116.17348221554101
SR-00259,PIPE-0222,Sewer,East Bench,Slow Drain,2024-05-13,2024-06-16,Resolved,Low,Web Form,43.61714709461052,-116.17599260028952
SR-00260,PIPE-0034,Water,Southwest,No Water,2024-02-11,2024-03-01,Pending,Medium,Web Form,43.55744056687183,-116.29161634016616
SR-00261,PIPE-0216,Water,North End,Discolored Water,2024-02-13,,In Review,High,Web Form,43.638352876842355,-116.20267217874962
SR-00262,PIPE-0439,Water,Downtown,Leak Report,2024-01-24,2024-02-24,Pending,Critical,Web Form,43.60740633673723,-116.19960907941987
SR-00263,PIPE-0481,Sewer,Southeast,Manhole Overflow,2025-06-27,2025-06-29,In Review,Low,Web Form,43.54022277356923,-116.19344637532387
SR-00264,PIPE-0007,Stormwater,East Bench,Clogged Drain,2024-10-09,,Pending,Low,Web Form,43.59569516392737,-116.17425269017698
SR-00265,PIPE-0492,Stormwater,Southeast,Clogged Drain,2024-10-25,,Resolved,High,Phone,43.585315102307746,-116.20096913163104
SR-00266,PIPE-0151,Water,Southeast,No Water,2025-12-26,,Resolved,Medium,311 App,43.583697230508285,-116.19915477786661
SR-00267,PIPE-0178,Water,Downtown,Hydrant Issue,2025-04-22,2025-04-30,Resolved,Medium,Phone,43.61718227081238,-116.17548850561694
SR-00268,PIPE-0035,Stormwater,Southwest,Erosion Report,2024-08-09,,Resolved,Low,SCADA,43.570436254125205,-116.2647755567411
SR-00269,PIPE-0116,Water,Southeast,Water Main Break,2025-09-18,2025-10-20,Pending,Low,SCADA,43.555371959746736,-116.1867674861677
SR-00270,PIPE-0215,Water,North End,Discolored Water,2025-06-21,2025-06-22,Resolved,Low,311 App,43.66018536112961,-116.2306616460747
SR-00271,PIPE-0223,Sewer,Downtown,Root Intrusion Report,2025-07-16,,In Review,Low,Phone,43.614173586780346,-116.1802235921626
SR-00272,PIPE-0309,Water,East Bench,Water Main Break,2025-05-24,,In Review,Low,SCADA,43.59729968847213,-116.14665087491687
SR-00273,PIPE-0098,Stormwater,Downtown,Clogged Drain,2025-02-05,2025-02-28,Resolved,Low,Web Form,43.626414765628304,-116.20193994555011
SR-00274,PIPE-0464,Stormwater,North End,Street Flooding,2025-10-16,2025-11-04,In Review,High,Phone,43.65662139803377,-116.18326644591315
SR-00275,PIPE-0211,Sewer,North End,Manhole Overflow,2024-01-28,2024-02-24,Resolved,Medium,Phone,43.67690727333409,-116.18615958964551
SR-00276,PIPE-0495,Water,Downtown,Water Main Break,2025-04-07,,Pending,Low,311 App,43.59902058931988,-116.20042306852677
SR-00277,PIPE-0247,Stormwater,West Boise,Culvert Blockage,2024-10-28,,Pending,Low,Web Form,43.61128691183034,-116.3171759262271
SR-00278,PIPE-0439,Water,Downtown,Leak Report,2025-05-19,2025-06-16,In Review,Low,311 App,43.604420050587485,-116.20114585420863
SR-00279,PIPE-0102,Sewer,Southeast,Sewer Backup,2024-01-19,2024-02-01,In Review,Medium,Web Form,43.59456235895746,-116.19846184159495
SR-00280,PIPE-0453,Sewer,Downtown,Slow Drain,2024-01-28,2024-03-12,Resolved,High,Phone,43.60422678298404,-116.21326096738125
SR-00281,PIPE-0057,Sewer,Downtown,Root Intrusion Report,2024-12-14,2025-01-11,In Review,Medium,SCADA,43.61731316601958,-116.19366445550817
SR-00282,PIPE-0424,Water,Southwest,Discolored Water,2025-03-10,2025-04-21,In Review,Medium,Web Form,43.550117603294304,-116.22145848376488
SR-00283,PIPE-0171,Stormwater,West Boise,Culvert Blockage,2024-11-07,2024-11-08,Pending,Medium,Web Form,43.64108076102797,-116.31401245247058
SR-00284,PIPE-0102,Sewer,Southeast,Manhole Overflow,2025-07-17,2025-08-20,Pending,Low,Phone,43.593934989829215,-116.20050278959827
SR-00285,PIPE-0409,Water,East Bench,Water Main Break,2024-02-24,,Pending,Low,311 App,43.59568559788943,-116.14026023799454
SR-00286,PIPE-0073,Sewer,North End,Root Intrusion Report,2024-03-07,2024-03-26,Resolved,Low,SCADA,43.62796757639215,-116.20051940357163
SR-00287,PIPE-0007,Stormwater,East Bench,Standing Water,2025-09-04,2025-10-14,In Review,Critical,Web Form,43.59886612874247,-116.17443300272213
SR-00288,PIPE-0122,Stormwater,West Boise,Street Flooding,2025-11-23,2025-12-23,In Review,High,Phone,43.60846905840872,-116.28385327803483
SR-00289,PIPE-0299,Stormwater,North End,Erosion Report,2025-08-05,,In Review,Low,Web Form,43.65794409346164,-116.20460924646451
SR-00290,PIPE-0057,Sewer,Downtown,Manhole Overflow,2025-09-25,2025-10-08,Resolved,Low,Phone,43.61838174550474,-116.19237769034423
SR-00291,PIPE-0476,Sewer,Downtown,Slow Drain,2024-05-24,2024-06-21,In Review,Low,SCADA,43.607332871476046,-116.22190815731912
SR-00292,PIPE-0065,Water,West Boise,Leak Report,2024-06-07,2024-06-15,Pending,Low,SCADA,43.65276265849749,-116.2934623725868
SR-00293,PIPE-0147,Sewer,North End,Odor Complaint,2024-08-21,2024-09-05,In Review,High,Phone,43.646510087599225,-116.19788516590516
SR-00294,PIPE-0460,Stormwater,East Bench,Street Flooding,2025-07-28,2025-08-16,Pending,Critical,311 App,43.58192639220185,-116.17339100597216
SR-00295,PIPE-0083,Water,West Boise,Hydrant Issue,2025-03-20,,Resolved,Critical,Web Form,43.63198700169219,-116.32451455093019
SR-00296,PIPE-0249,Sewer,West Boise,Root Intrusion Report,2024-04-05,2024-04-30,Pending,High,SCADA,43.613932411331675,-116.3515041543158
SR-00297,PIPE-0399,Stormwater,Southeast,Street Flooding,2025-07-29,2025-08-26,In Review,Medium,Phone,43.57024892986323,-116.16852622126999
SR-00298,PIPE-0182,Sewer,West Boise,Manhole Overflow,2024-05-03,,Pending,Critical,Phone,43.60516740319573,-116.30487486574492
SR-00299,PIPE-0254,Water,West Boise,Low Pressure,2025-06-05,,Resolved,Medium,SCADA,43.63263433138203,-116.2553400872827
SR-00300,PIPE-0061,Sewer,Southeast,Slow Drain,2025-06-10,2025-07-06,Resolved,Low,311 App,43.54682884110175,-116.16778298416033
SR-00301,PIPE-0031,Stormwater,East Bench,Clogged Drain,2024-03-17,,In Review,High,311 App,43.6034926646047,-116.17673511027171
SR-00302,PIPE-0095,Water,North End,Water Main Break,2025-09-18,2025-09-24,In Review,Low,Web Form,43.678217294140254,-116.20666283581359
SR-00303,PIPE-0349,Sewer,Downtown,Slow Drain,2025-10-06,2025-11-13,In Review,Critical,Phone,43.60816319669229,-116.22052655577002
SR-00304,PIPE-0230,Water,West Boise,Leak Report,2024-10-03,,Pending,Critical,Web Form,43.65219695186765,-116.35372327200406
SR-00305,PIPE-0141,Stormwater,Downtown,Clogged Drain,2024-05-23,2024-06-19,In Review,Medium,Web Form,43.609989849941115,-116.20549933200228
SR-00306,PIPE-0171,Stormwater,West Boise,Standing Water,2025-05-18,2025-06-18,Resolved,Medium,311 App,43.642963452546645,-116.31486581651619
SR-00307,PIPE-0007,Stormwater,East Bench,Street Flooding,2025-06-20,2025-07-07,Resolved,Medium,Phone,43.59736046575522,-116.17664325261303
SR-00308,PIPE-0177,Sewer,Downtown,Manhole Overflow,2024-11-17,2024-11-28,Pending,Critical,311 App,43.61396277115204,-116.21803333277896
SR-00309,PIPE-0499,Water,North End,No Water,2024-07-28,2024-08-08,Resolved,Low,Phone,43.63874585776889,-116.20480951988999
SR-00310,PIPE-0337,Sewer,Southwest,Odor Complaint,2024-08-31,2024-10-13,Resolved,Critical,SCADA,43.555642451150106,-116.28675126756666
SR-00311,PIPE-0331,Water,North End,Low Pressure,2024-07-13,,In Review,High,Web Form,43.63860439468815,-116.17858226316577
SR-00312,PIPE-0194,Water,Downtown,Discolored Water,2025-08-15,,Pending,High,311 App,43.6162903142796,-116.21390793502691
SR-00313,PIPE-0008,Water,Southwest,Discolored Water,2024-02-24,,In Review,High,311 App,43.57109843831153,-116.2583752727233
SR-00314,PIPE-0034,Water,Southwest,No Water,2025-04-19,2025-05-21,In Review,Medium,Phone,43.553956714254795,-116.28977516856165
SR-00315,PIPE-0445,Sewer,Southeast,Root Intrusion Report,2025-05-18,2025-06-25,Resolved,Low,Phone,43.539082393465506,-116.18516565783746
SR-00316,PIPE-0087,Water,North End,No Water,2025-08-09,2025-09-10,In Review,Critical,Phone,43.64059251382285,-116.19109266587084
SR-00317,PIPE-0045,Water,East Bench,Low Pressure,2025-07-06,,In Review,Medium,Web Form,43.610516700669685,-116.13903611490879
SR-00318,PIPE-0214,Stormwater,Southeast,Standing Water,2025-04-05,2025-04-07,In Review,Critical,SCADA,43.581464981242156,-116.1980221292341
SR-00319,PIPE-0065,Water,West Boise,Leak Report,2025-12-17,,Resolved,Critical,Phone,43.65550740423013,-116.29426415268979
SR-00320,PIPE-0069,Water,West Boise,No Water,2025-01-20,2025-01-26,Resolved,Medium,Phone,43.65121669971196,-116.34706043759078
SR-00321,PIPE-0467,Water,Southwest,Water Main Break,2025-02-06,2025-03-21,Resolved,High,SCADA,43.56310223504999,-116.29699001002666
SR-00322,PIPE-0487,Water,Downtown,No Water,2024-06-02,2024-07-06,Resolved,Low,Phone,43.614724570180414,-116.22040827822778
SR-00323,PIPE-0191,Sewer,North End,Root Intrusion Report,2025-08-31,2025-10-06,In Review,High,Phone,43.673414844300254,-116.21049015493662
SR-00324,PIPE-0064,Sewer,Downtown,Manhole Overflow,2025-07-13,2025-07-24,Resolved,High,311 App,43.60180559994594,-116.19804282692641
SR-00325,PIPE-0133,Stormwater,East Bench,Erosion Report,2025-07-09,2025-08-17,In Review,High,Phone,43.59711154907615,-116.15175860946935
SR-00326,PIPE-0241,Sewer,North End,Sewer Backup,2025-09-16,2025-10-27,In Review,Low,Web Form,43.64226611748874,-116.1725647366125
SR-00327,PIPE-0288,Water,North End,Low Pressure,2024-02-06,2024-03-06,Pending,Medium,Phone,43.681580784217836,-116.18420638667847
SR-00328,PIPE-0338,Water,Southeast,Discolored Water,2024-07-19,2024-08-31,Resolved,Critical,Web Form,43.539521793180114,-116.1713440325686
SR-00329,PIPE-0129,Water,Downtown,Leak Report,2025-10-04,2025-11-03,In Review,Critical,SCADA,43.608787907123265,-116.17357190493871
SR-00330,PIPE-0034,Water,Southwest,Discolored Water,2025-03-22,2025-04-01,Pending,Medium,SCADA,43.557632767621925,-116.29295828029994
SR-00331,PIPE-0306,Stormwater,Southwest,Standing Water,2024-11-21,2024-11-22,In Review,Medium,Phone,43.551033723668446,-116.28993199348982
SR-00332,PIPE-0337,Sewer,Southwest,Slow Drain,2025-11-10,2025-12-04,Pending,High,SCADA,43.55573477393074,-116.29053446343991
SR-00333,PIPE-0495,Water,Downtown,No Water,2024-10-13,2024-10-25,Pending,High,Web Form,43.599004822945076,-116.19683207655801
SR-00334,PIPE-0430,Water,Southeast,Water Main Break,2025-08-30,2025-09-08,In Review,High,Phone,43.573441204871614,-116.19946420392539
SR-00335,PIPE-0189,Sewer,Downtown,Slow Drain,2025-06-29,2025-07-17,Resolved,Medium,311 App,43.61273874427977,-116.18740731387791
SR-00336,PIPE-0036,Stormwater,Downtown,Culvert Blockage,2025-11-27,2025-12-09,Pending,Critical,Phone,43.619856815391095,-116.22062659730348
SR-00337,PIPE-0386,Water,West Boise,Hydrant Issue,2025-08-12,,Resolved,Medium,Web Form,43.635717963676925,-116.26286926968652
SR-00338,PIPE-0446,Water,West Boise,Low Pressure,2024-08-16,2024-09-18,In Review,Critical,Web Form,43.63589821687179,-116.30910848658186
SR-00339,PIPE-0073,Sewer,North End,Odor Complaint,2024-09-26,2024-11-01,Resolved,High,SCADA,43.6270920129621,-116.20170178099892
SR-00340,PIPE-0299,Stormwater,North End,Culvert Blockage,2024-01-08,,Resolved,Low,311 App,43.66151452158598,-116.20421499581539
SR-00341,PIPE-0379,Sewer,Southwest,Root Intrusion Report,2024-07-22,2024-08-13,Resolved,High,311 App,43.571445040687045,-116.29285310526818
SR-00342,PIPE-0117,Water,North End,Leak Report,2024-03-31,,Resolved,High,Web Form,43.63661018875656,-116.17580761651513
SR-00343,PIPE-0171,Stormwater,West Boise,Standing Water,2025-09-26,2025-10-23,In Review,Low,Phone,43.643082214939895,-116.31413069255913
SR-00344,PIPE-0263,Sewer,West Boise,Manhole Overflow,2024-01-17,2024-02-04,In Review,Low,Web Form,43.65680154716282,-116.31489318293717
SR-00345,PIPE-0020,Water,North End,Leak Report,2024-12-28,,In Review,Low,SCADA,43.6391789423858,-116.22003871293532
SR-00346,PIPE-0124,Water,Southwest,Water Main Break,2025-05-04,,Resolved,Medium,Web Form,43.56886977442845,-116.2419042589886
SR-00347,PIPE-0453,Sewer,Downtown,Slow Drain,2025-07-24,2025-08-21,Resolved,High,SCADA,43.60699618238265,-116.2121638813161
SR-00348,PIPE-0422,Sewer,Southwest,Slow Drain,2024-11-01,2024-11-10,In Review,High,Web Form,43.59042261571946,-116.29673631613906
SR-00349,PIPE-0307,Sewer,Downtown,Root Intrusion Report,2025-10-09,,Pending,High,Web Form,43.617931431147596,-116.19477669463046
SR-00350,PIPE-0191,Sewer,North End,Root Intrusion Report,2025-05-29,,Resolved,Low,SCADA,43.67563654436387,-116.21282441702175
SR-00351,PIPE-0222,Sewer,East Bench,Manhole Overflow,2024-01-07,2024-01-10,Pending,High,Phone,43.61564932531045,-116.17348636909627
SR-00352,PIPE-0474,Stormwater,West Boise,Street Flooding,2024-08-30,,Pending,High,311 App,43.60603937569253,-116.33023609362495
SR-00353,PIPE-0256,Water,Downtown,No Water,2025-06-18,,Pending,Medium,311 App,43.62513563791821,-116.1974945481173
SR-00354,PIPE-0151,Water,Southeast,Hydrant Issue,2025-09-23,2025-10-31,In Review,Critical,Phone,43.58533533786378,-116.19859863183825
SR-00355,PIPE-0444,Sewer,Downtown,Slow Drain,2024-08-15,2024-09-25,In Review,High,SCADA,43.624598818741646,-116.20251353847142
SR-00356,PIPE-0447,Sewer,East Bench,Odor Complaint,2025-06-11,2025-06-22,Pending,Medium,311 App,43.609841310651134,-116.17377846095522
SR-00357,PIPE-0228,Sewer,Downtown,Manhole Overflow,2025-07-10,2025-07-17,Resolved,Low,Phone,43.61496972437544,-116.22142714956765
SR-00358,PIPE-0037,Water,Southwest,Low Pressure,2024-01-08,2024-02-17,Resolved,Critical,311 App,43.60154192853242,-116.2768216376172
SR-00359,PIPE-0109,Sewer,Downtown,Root Intrusion Report,2025-05-16,,Pending,High,311 App,43.600130052452236,-116.196652259933
SR-00360,PIPE-0459,Sewer,North End,Slow Drain,2025-12-24,,Resolved,Medium,Web Form,43.62613531831933,-116.20214560455285
SR-00361,PIPE-0079,Sewer,Downtown,Slow Drain,2025-01-06,2025-01-24,Resolved,Critical,Phone,43.601450950937604,-116.19533844909643
SR-00362,PIPE-0055,Stormwater,West Boise,Standing Water,2025-09-25,,Pending,Medium,311 App,43.60687498226204,-116.28562250367912
SR-00363,PIPE-0058,Stormwater,Southeast,Standing Water,2025-03-26,2025-05-07,Resolved,Low,SCADA,43.54074993137166,-116.20120671524278
SR-00364,PIPE-0462,Sewer,East Bench,Root Intrusion Report,2024-08-10,2024-09-21,Resolved,Low,Web Form,43.597289157031675,-116.17637923340271
SR-00365,PIPE-0095,Water,North End,Leak Report,2025-09-21,,Resolved,Low,SCADA,43.681197611848326,-116.20566501158935
SR-00366,PIPE-0265,Water,Downtown,Hydrant Issue,2025-10-17,,In Review,Medium,Phone,43.60158682624002,-116.20037758994826
SR-00367,PIPE-0324,Water,West Boise,Discolored Water,2024-09-07,2024-10-12,Pending,High,Web Form,43.63563150158054,-116.31589658709679
SR-00368,PIPE-0266,Stormwater,Southeast,Standing Water,2025-05-19,,Pending,Medium,311 App,43.591054174869434,-116.20095584828063
SR-00369,PIPE-0177,Sewer,Downtown,Manhole Overflow,2025-05-25,2025-06-02,Pending,Critical,311 App,43.61284117889938,-116.22104467773747
SR-00370,PIPE-0225,Stormwater,Southwest,Culvert Blockage,2024-02-26,,Pending,Critical,311 App,43.55666294877774,-116.29484932539751
SR-00371,PIPE-0411,Sewer,Southwest,Root Intrusion Report,2024-05-21,2024-06-26,Resolved,Medium,Phone,43.59811231350339,-116.29546011748312
SR-00372,PIPE-0315,Stormwater,East Bench,Street Flooding,2024-05-17,2024-06-12,In Review,Medium,Phone,43.59998362844406,-116.17682213755651
SR-00373,PIPE-0141,Stormwater,Downtown,Standing Water,2025-05-15,2025-06-28,In Review,Critical,Web Form,43.61264638919218,-116.20592072156275
SR-00374,PIPE-0480,Water,West Boise,Discolored Water,2025-01-16,2025-02-08,Resolved,Critical,311 App,43.609970768215355,-116.26432981031803
SR-00375,PIPE-0308,Sewer,Downtown,Odor Complaint,2024-02-11,,Pending,Medium,SCADA,43.60768162737137,-116.17474430908928
SR-00376,PIPE-0125,Sewer,North End,Slow Drain,2025-08-10,,Resolved,High,Phone,43.65581137678176,-116.17459597353816
SR-00377,PIPE-0097,Stormwater,West Boise,Clogged Drain,2024-04-05,,In Review,Medium,Web Form,43.65565603345704,-116.33386709976439
SR-00378,PIPE-0429,Sewer,Downtown,Manhole Overflow,2024-10-10,2024-11-12,Resolved,Medium,311 App,43.60030619670199,-116.19688228628522
SR-00379,PIPE-0222,Sewer,East Bench,Root Intrusion Report,2025-12-04,2025-12-10,Resolved,Medium,SCADA,43.613497665851156,-116.17639627311434
SR-00380,PIPE-0100,Water,Southwest,No Water,2024-07-31,,In Review,Critical,SCADA,43.57787021125795,-116.25404826875055
SR-00381,PIPE-0308,Sewer,Downtown,Sewer Backup,2025-09-12,2025-10-26,Resolved,Low,SCADA,43.606710785159606,-116.17748499007173
SR-00382,PIPE-0254,Water,West Boise,Leak Report,2024-05-03,2024-05-06,Resolved,High,SCADA,43.63335460964586,-116.25455219467528
SR-00383,PIPE-0322,Sewer,Downtown,Root Intrusion Report,2024-08-07,,Resolved,Critical,SCADA,43.62534925273682,-116.19564040616473
SR-00384,PIPE-0096,Sewer,Downtown,Odor Complaint,2025-04-11,2025-05-24,In Review,Low,Phone,43.627057440304306,-116.19155882005715
SR-00385,PIPE-0119,Sewer,Downtown,Root Intrusion Report,2024-10-18,,In Review,Critical,Phone,43.61727371595768,-116.218182624629
SR-00386,PIPE-0349,Sewer,Downtown,Root Intrusion Report,2024-11-30,2024-12-10,Pending,Critical,Phone,43.60803045959545,-116.21870704723622
SR-00387,PIPE-0487,Water,Downtown,No Water,2025-01-10,2025-02-02,Pending,Low,311 App,43.61663644862803,-116.22114152733339
SR-00388,PIPE-0280,Water,Downtown,No Water,2025-09-02,,In Review,Critical,311 App,43.601105451944385,-116.18977154704378
SR-00389,PIPE-0403,Sewer,Southwest,Slow Drain,2024-05-25,,Pending,High,Web Form,43.577039474993555,-116.27507371147405
SR-00390,PIPE-0009,Water,West Boise,Low Pressure,2024-01-28,,In Review,Medium,311 App,43.64948038331074,-116.28907159017437
